Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0152868459	293.2	293.2	293.2	293.2	0	0	0	0	1.49009e-09	0	0	3
2	2	0	0.0305736918	293.2	293.2	293.2	293.2	3.12638804e-12	0	0	0	1.48492e-09	0	0	3
3	3	0	0.0458605377	293.2	293.2	293.2	293.2	6.42330633e-12	0	0	0	1.48236e-09	0	0	3
4	3	0	0.0611473836	293.2	293.2	293.2	293.2	9.66338121e-12	0	0	0	1.4798e-09	0	0	3
5	3	0	0.0764342295	293.2	293.2	293.2	293.2	1.29602995e-11	0	0	0	1.47691e-09	0	0	3
6	4	0	0.0917210754	293.2	293.2	293.2	293.2	1.83604243e-11	0	0	0	1.46935e-09	0	0	3
7	4	0	0.107007921	293.2	293.2	293.2	293.2	3.24575922e-11	0	0	0	1.43814e-09	0	0	3
8	4	0	0.122294767	293.2	293.2	293.2	293.2	8.59472493e-11	0	0	0	1.25351e-09	0	0	3
9	5	0	0.137581613	293.2	293.2	293.2	293.2	2.02419415e-10	0	0	0	5.84976e-10	0	0	3
10	5	0	0.152868459	293.2	293.2	293.2	293.2	3.26053851e-10	0	0	0	1.18064e-10	0	0	3
11	5	0	0.168155305	293.2	293.2	293.2	293.2	4.30247837e-10	0	0	0	1.23578e-10	0	0	3
12	5	0	0.183442151	293.2	293.2	293.2	293.2	5.16877208e-10	0	0	0	1.36993e-10	0	0	3
13	6	0	0.198728997	293.2	293.2	293.2	293.2	5.89864158e-10	0	0	0	1.60355e-10	0	0	3
14	6	0	0.214015843	293.2	293.2	293.2	293.2	6.52164545e-10	0	0	0	1.82411e-10	0	0	3
15	6	0	0.229302689	293.2	293.2	293.2	293.2	7.05881575e-10	0	0	0	2.01396e-10	0	0	3
16	7	0	0.244589534	293.2	293.2	293.2	293.2	7.52606866e-10	0	0	0	2.19529e-10	0	0	3
17	7	0	0.25987638	293.2	293.2	293.2	293.2	7.93590971e-10	0	0	0	2.35502e-10	0	0	3
18	7	0	0.275163226	293.2	293.2	293.2	293.2	8.29800229e-10	0	0	0	2.49827e-10	0	0	3
19	8	0	0.290450072	293.2	293.2	293.2	293.2	8.62030447e-10	0	0	0	2.63014e-10	0	0	3
20	8	0	0.305736918	293.2	293.2	293.2	293.2	8.90793217e-10	0	0	0	2.75179e-10	0	0	3
21	8	0	0.321023764	293.2	293.2	293.2	293.2	9.16656973e-10	0	0	0	2.87059e-10	0	0	3
22	8	0	0.33631061	293.2	293.2	293.2	293.2	9.40076461e-10	0	0	0	2.97973e-10	0	0	3
23	9	0	0.351597456	293.2	293.2	293.2	293.2	9.61222213e-10	0	0	0	3.08205e-10	0	0	3
24	9	0	0.366884302	293.2	293.2	293.2	293.2	9.80492132e-10	0	0	0	3.17812e-10	0	0	3
25	9	0	0.382171148	293.2	293.2	293.2	293.2	9.97999905e-10	0	0	0	3.26963e-10	0	0	3
